Stock,Weight,2023-12-29,Cost of Shares
CMS,26.0,54.12183380126953,1407.1676788330078
RSI,22.0,4.489999771118164,98.77999496459961
PFE,37.0,24.8840274810791,920.7090167999268
VCIT,14.0,73.36143493652344,1027.0600891113281
WMB,47.0,31.99099922180176,1503.5769634246828
USTB,652.0,44.46987533569336,28994.35871887207
FEMB,60.0,25.53407859802246,1532.0447158813477
COGT,8.0,5.880000114440918,47.040000915527344
AGZD,794.0,20.015613555908203,15892.397163391113
HYZD,238.0,18.86345100402832,4489.50133895874
LDSF,96.0,17.007450103759766,1632.7152099609375
ADMA,33.0,4.519999980926514,149.15999937057495
SUSB,150.0,22.29100799560547,3343.6511993408203
MWA,13.0,14.015314102172852,182.19908332824707
IRT,42.0,14.074219703674316,591.1172275543213
VCSH,164.0,70.40776824951172,11546.873992919922
VSH,15.0,22.76910972595215,341.5366458892822
KRG,21.0,20.19525909423828,424.1004409790039
UTI,24.0,12.520000457763672,300.4800109863281
MRK,13.0,101.52635955810548,1319.8426742553713
SLQD,136.0,44.97996520996094,6117.2752685546875
ADPT,31.0,4.900000095367432,151.90000295639038
GLW,12.0,28.975181579589844,347.7021789550781
SUSC,23.0,21.09714698791504,485.2343807220459
CDE,134.0,3.259999990463257,436.8399987220764
IGSB,67.0,46.571414947509766,3120.2848014831543
ISTB,38.0,43.45247268676758,1651.193962097168
DHT,66.0,8.505207061767578,561.3436660766602
EYE,18.0,20.93000030517578,376.74000549316406
WEC,13.0,77.66934967041016,1009.701545715332
